1,-1_-4,drop,2,32
2,0_-4,warp,3,1
3,1_-4,bonus,4,2
4,1_-3,draw,5,3
5,1_-2,encounter,6,33_4
6,2_-2,home,7,5
7,2_-1,draw,8_34,6
8,3_-1,bonus,9,7
9,4_-1,drop,10,8
10,4_0,warp,11,9
11,4_1,bonus,12,10
12,3_1,draw,13,11
13,2_1,encounter,14,12_34
14,2_2,home,15,13
15,1_2,bonus,16_35,14
16,1_3,draw,17,15
17,1_4,drop,18,16
18,0_4,warp,19,17
19,-1_4,bonus,20,18
20,-1_3,draw,21,19
21,-1_2,encounter,22,20_35
22,-2_2,home,23,21
23,-2_1,draw,24_36,22
24,-3_1,bonus,25,23
25,-4_1,encounter,26,24
26,-4_0,warp,27,25
27,-4_-1,bonus,28,26
28,-3_-1,draw,29,27
29,-2_-1,drop,30,28_36
30,-2_-2,home,31,29
31,-1_-2,bonus,32_33,30
32,-1_-3,draw,1,31
33,0_-2,draw,5,31
34,2_0,bonus,13,7
35,0_2,draw,21,15
36,-2_0,bonus,29,23
